คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"ผักบุ้งจีน, ผักบุ้ง, chinese morning glory",ผักบุ้งจีน | CHINESE MORNING GLORY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักบุ้งจีน | CHINESE MORNING GLORY
"ผักบุ้งไทย, thai morning glory",ผักบุ้งไทย | THAI MORNING GLORY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักบุ้งไทย | THAI MORNING GLORY
ผักบุ้งแดงไทย,ผักบุ้งแดงไทย | RED THAI MORNING GLORY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักบุ้งแดงไทย | RED THAI MORNING GLORY
"ผักวานบ้าน, ผักหวานบ้าน, หวานบ้าน",ผักหวานบ้าน | BREYNIA ANDROGYNA,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักหวานบ้าน | BREYNIA ANDROGYNA
"ผักชี, ผักชีไทย, coriander, thai coriander",ผักชี | CORIANDER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักชี | CORIANDER
"ผักชีฝรั่ง, culantro",ผักชีฝรั่ง | CULANTRO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักชีฝรั่ง | CULANTRO
"ผักชีลาว, Dill",ผักชีลาว | DILL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักชีลาว | DILL
"พาสลีย์, พาสลี, พาสเลย์, parsley",พาสลีย์ | PARSLEY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พาสลีย์ | PARSLEY
"ยอดคะน้า, คะน้ายอด",ยอดคะน้า | YOUNG CHINESE KALE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ยอดคะน้า | YOUNG CHINESE KALE
ยอดคะน้าฮ่องกง,ยอดคะน้าฮ่องกง | YOUNG HONGKONG KALE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ยอดคะน้าฮ่องกง | YOUNG HONGKONG KALE
"ยอดฟักแม้ว, ยอดฝักแมว, ยอดฟักแมว",ยอดฟักแม้ว | MEOW GOURD SHOOTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ยอดฟักแม้ว | MEOW GOURD SHOOTS
"ใบกะเพรา, ใบกระเพรา, กระเพราใบ, กะเพราใบ, กระเพราะใบ, กะเพรา, holy basil",ใบกะเพรา | HOLY BASIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบกะเพรา | HOLY BASIL
"ใบกะเพราเด็ด, ใบกระเพราเด็ด, กระเพราใบ เด็ด, กระเพราใบเด็ด, กระเพราะใบเด็ด",ใบกะเพราเด็ด | HOLY BASIL (RT),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบกะเพราเด็ด | HOLY BASIL (RT)
"ใบกะเพราแดง, ใบกระเพราแดง, กระเพราแดงใบ, กะเพราแดงใบ, red holy basil",ใบกะเพราแดง | RED HOLY BASIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบกะเพราแดง | RED HOLY BASIL
"ใบชะมวง, ใบชะม่วง",ใบชะมวง | CHAMUANG LEAVES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบชะมวง | CHAMUANG LEAVES
"ใบตองตานี, banana leaves",ใบตองตานี | BANANA LEAVES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบตองตานี | BANANA LEAVES
ใบบัวบก,ใบบัวบก | CENTELLA ASIATICA,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบบัวบก | CENTELLA ASIATICA
"ใบโหระพา, โหละพา, โหระพา, sweet basil",ใบโหระพา | SWEET BASIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบโหระพา | SWEET BASIL
"ใบเตย, pandan leaf",ใบเตย | PANDAN LEAF,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบเตย | PANDAN LEAF
ฟักเขียวแก่,ฟักเขียวแก่ | OLD WAX GOURD,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักเขียวแก่ | OLD WAX GOURD
ฟักเขียว,ฟักเขียว | WAX GOURD,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักเขียว | WAX GOURD
ใบแมงลัก,ใบแมงลัก | HAIRY BASIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบแมงลัก | HAIRY BASIL
"บล็อคโคลี่, บล็อกโคลี, บ็อกโคลี่, บล็อกโคนี่, บล็อกโคลี่, ผักบล็อกโคลี่,บลอคโคลี่, broccoli",บล็อคโคลี่ | BROCCOLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บล็อคโคลี่ | BROCCOLI
"บล็อคโคลีนี่, โคลีนี่, บล็อกโคลีนี่, broccolini",บล็อคโคลีนี่ | BROCOOLINI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บล็อคโคลีนี่ | BROCOOLINI
"เบบี้บ๊อกโคลี่, เบบี้บล็อคโคลี่, เบบี้บ็อคโคลรี่, บล๊อคโคลินี, Baby บล้อคโคนี่, เบบี้บลอคโคลี่, baby broccoli",เบบี้บ็อกโคลี่ | BABY BROCCOLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้บ็อกโคลี่ | BABY BROCCOLI
"อิตาเลี่ยนเบซิล, โหระพาอิตาเลี่ยน, โหระพาอิตาลี่, Italian Basil, italian basil, โหระพาอิตาเลียน",อิตาเลี่ยนเบซิล | ITALIAN BASIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,อิตาเลี่ยนเบซิล | ITALIAN BASIL
"อิตาเลียนพาสลีย์, อิตาเลียนพาสลี่ใบแบน, อิตาเลี่ยนพาสลีย์, Italian parsley, อิตาเลี่ยนพาสเลย์, อิตาเลี่ยนพาสเลย์.",อิตาเลียนพาสลีย์ | ITALIAN PARSLEY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,อิตาเลียนพาสลีย์ | ITALIAN PARSLEY
"กรีนโอ๊ค, กรีนโอ๊ก, green oak",กรีนโอ๊ค | GREEN OAK,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กรีนโอ๊ค | GREEN OAK
"กรีนโอ๊คตัดราก, กรีนโอ๊กตัดราก, green oak cr",กรีนโอ๊ค (ตัดราก) | GREEN OAK CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กรีนโอ๊ค (ตัดราก) | GREEN OAK CR
"บัตเตอร์เฮด, บัตเอตอร์เฮด, butterhead",บัตเตอร์เฮด | BUTTERHEAD LETTUCE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บัตเตอร์เฮด | BUTTERHEAD LETTUCE
"บัตเตอร์เฮดตัดราก, บัตเอตอร์เฮดตัดราก, butterhead cr",บัตเตอร์เฮด (ตัดราก) | BUTTERHEAD LETTUCE CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บัตเตอร์เฮด (ตัดราก) | BUTTERHEAD LETTUCE CR
"ฟิลเลย์ไอซ์เบิร์ค, ฟิลเลไอเบิร์ก, ฟิลเล, fillet iceberg, filler ice",ฟิลเลย์ไอซ์เบิร์ค | FILLET ICEBERG,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟิลเลย์ไอซ์เบิร์ค | FILLET ICEBERG
"ฟิลเลย์ไอซ์เบิร์คตัดราก, ฟิลเลไอเบิร์กตักราก, ฟิลเล ตัดราก, ฟิลเลย์ไอซ์เบิร์กตัดราก,  fillet iceberg cr, filler ice cr",ฟิลเลย์ไอซ์เบิร์ค (ตัดราก) | FILLET ICEBERG CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟิลเลย์ไอซ์เบิร์ค (ตัดราก) | FILLET ICEBERG CR
"มิซูน่า, mizuna",มิซูน่า | MIZUNA,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มิซูน่า | MIZUNA
"ร็อกเก็ต, ร็อคเก็ต, Rocket",ร็อกเก็ต | ROCKET (ARUGULA),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ร็อกเก็ต | ROCKET (ARUGULA)
"เรดคอรัล, เดรคอรัล, red coral, เรดโครอต",เรดคอรัล | RED CORAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เรดคอรัล | RED CORAL
"เรดคอรัลตัดราก, เดรคอรัลตัดราก, red coral cr",เรดคอรัล (ตัดราก) | RED CORAL CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เรดคอรัล (ตัดราก) | RED CORAL CR
"เรดโอ๊ก, เรดโอ๊ค, red oak",เรดโอ๊ค | RED OAK,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เรดโอ๊ค | RED OAK
"เรดโอ๊กตัดราก, เรดโอ๊คตัดราก, เรดโอ๊ก (ตัดราก), เรดโอ๊ค (ตัดราก), red oak cr",เรดโอ๊ค (ตัดราก) | RED OAK CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เรดโอ๊ค (ตัดราก) | RED OAK CR
"กรีนคอรัล, กรีนคอรอล, green coral",กรีนคอรัล | GREEN CORAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กรีนคอรัล | GREEN CORAL
"กรีนคอรัลตัดราก, กรีนคอรอลตัดราก, green coral cr",กรีนคอรัล (ตัดราก) | GREEN CORAL CR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กรีนคอรัล (ตัดราก) | GREEN CORAL CR
"เบบี้คอส, Baby cos, Baby cross",เบบี้คอส | BABY COS LETTUCE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้คอส | BABY COS LETTUCE
"สลัดคอส, ผักคอส, คอส, cos",สลัดคอส | COS LETTUCE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สลัดคอส | COS LETTUCE
"สลัดรวม, mixed salad",สลัดรวม | MIXED SALAD,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สลัดรวม | MIXED SALAD
"ไวลด์ร็อกเก็ต, ไวร็อกเก็ต, wild rocket",ไวลด์ร็อกเก็ต | WILD ROCKET ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ไวลด์ร็อกเก็ต | WILD ROCKET (ARUGULA)
"ไวลด์ร็อกเก็ตตัดราก, ไวร็อกเก็ตตัดราก, wild rocket CR, wild rocket cr",ไวลด์ร็อกเก็ต (ตัดราก) | WILD ROCKET (ARUGULA),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ไวลด์ร็อกเก็ต (ตัดราก) | WILD ROCKET (ARUGULA)
"เห็ดเข็มทอง 300 กรัม, เห็ดเข็มทองชิโระ, เห็ดเข็มทองสามร้อยกรัม, เห็ดเข็มทอง300g, เห็ดเข็มทอง300กรัม",เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 300g,แพ็ค,,เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 300g
"เห็ดแชมปิญอง, แชมขาว, เห็ดแชมปิญองขาว, เห็ดเเชมปิญอง, white champignon, champignon, champ, เห็ดแชม",เห็ดแชมปิญอง | CHAMPIGNON MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดแชมปิญอง | CHAMPIGNON MUSHROOM
"เห็ดแชมปิญอง น้ำตาล, เห็ด swissbrown, swiss brown",เห็ดแชมปิญอง น้ำตาล | SWISS BROWN MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดแชมปิญอง น้ำตาล | SWISS BROWN MUSHROOM
"เห็ดจินเป่า, เห็ดออรินจิ, เห็ดออริจิ, ออรินจิ, oyster",เห็ดจินเป่า (ออรินจิ) | OYSTER MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดจินเป่า (ออรินจิ) | OYSTER MUSHROOM
"เห็ดชิเมจิขาว, ชิเมจิขาว, white shimeji, shimeji white",เห็ดชิเมจิขาว | WHITE SHIMEJI MUSHROOM 125g,"กก, กรัม, Kg, g., kg, แพค, pack,แพ็ค",,เห็ดชิเมจิขาว | WHITE SHIMEJI MUSHROOM 125g
เห็ดชิเมจิขาวก้านยาว,เห็ดชิเมจิขาวก้านยาว | LONG WHITE SHIMEJI,"กก, กรัม, Kg, g., kg, แพค, pack,แพ็ค",,เห็ดชิเมจิขาวก้านยาว | LONG WHITE SHIMEJI
"เห็ดชิเมจิดำ, ชิเมจิน้ำตาล, ชิเมจิดำ, black shimeji, shimeji black",เห็ดชิเมจิดำ | BLACK SHIMEJI 125g,"กก, กรัม, Kg, g., kg, แพค, pack,แพ็ค",,เห็ดชิเมจิดำ | BLACK SHIMEJI 125g
เห็ดชิเมจิดำก้านยาว,เห็ดชิเมจิดำก้านยาว | LONG BLACK SHIMEJI,"กก, กรัม, Kg, g., kg, แพค, pack,แพ็ค",,เห็ดชิเมจิดำก้านยาว | LONG BLACK SHIMEJI
"เห็ดนางฟ้า, summer oyster",เห็ดนางฟ้า | SUMMER OYSTER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดนางฟ้า | SUMMER OYSTER
เห็ดฟาง,เห็ดฟาง | STRAW MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดฟาง | STRAW MUSHROOM
"เห็ดหอมสด, เห็ดสด, เห็ดหอม, fresh shitake",เห็ดหอมสด | FRESH SHIITAKE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดหอมสด | FRESH SHIITAKE
"เห็ดหิมะขาว, หิมะขาว",เห็ดหิมะขาว | WHITE SNOW MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดหิมะขาว | WHITE SNOW MUSHROOM
เห็ดหิมะขาว 150 กรัม,เห็ดหิมะขาว 150g | WHITE SNOW MUSHROOM 150g,แพ็ค,,เห็ดหิมะขาว 150g | WHITE SNOW MUSHROOM 150g
"เห็ดหูหนูดำ, ear black mushroom",เห็ดหูหนูดำ | EAR BLACK MUSHROOM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดหูหนูดำ | EAR BLACK MUSHROOM
"กระชายหัว, กะชายหัว, whole galangal",กระชายหัว | WHOLE GALANGAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระชายหัว | WHOLE GALANGAL
"กระชายขาว, กะชายขาว, white galangal",กระชายขาว | WHITE GALANGAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระชายขาว | WHITE GALANGAL
"กระเทียมไทยกลีบ, กระเทียมไทย, thai garlic",กระเทียมไทยกลีบ | THAI GARLIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเทียมไทยกลีบ | THAI GARLIC
"กระเทียมจีนกลีบ, กะเทียมจีนกลีบ, chinese garlic",กระเทียมจีนกลีบ | CHINESE GARLIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเทียมจีนกลีบ | CHINESE GARLIC
"กระเทียมจีนปอก, กะเทียมจีนปอกเปลือก, จีนปอก, กระเทียมปอกเปลือก, เทียม, กระเทียมปอกเปลือก, peeled garlic, peeled chinese garlic, กระเทียมปอก, กท, gr",กระเทียมจีนปอก | CHINESE GARLIC (RT),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเทียมจีนปอก | CHINESE GARLIC (RT)
"กระเทียมจีนหัว, กระเทียมจีนตัดจุก, whole garlic, whole chinese garlic",กระเทียมจีนหัว | WHOLE CHINESE GARLIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเทียมจีนหัว | WHOLE CHINESE GARLIC
"กระเทียมโทน, solo garlic",กระเทียมโทน | SOLO GARLIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเทียมโทน | SOLO GARLIC
"ข่าแก่, ข่า, old galangal",ข่าแก่ | OLD GALANGAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข่าแก่ | GALANGAL
"ข่าอ่อน, galangal",ข่าอ่อน | GALANGAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข่าอ่อน | GALANGAL
"ขมิ้น, turmeric",ขมิ้น | TURMERIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ขมิ้น | TURMERIC
"ขมิ้นขาว, white turmeric",ขมิ้นขาว | WHITE TURMERIC,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ขมิ้นขาว | WHITE TURMERIC
"ขิงแก่, old ginger",ขิงแก่ | OLD GINGER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ขิงแก่ | OLD GINGER
"ต้นกระเทียม, ต้นกะเทียม, leek",ต้นกระเทียม | LEEK,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นกระเทียม | LEEK
,ต้นหอม | CHIEVE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นหอม | CHIEVE
"ต้นหอมไทย, ต้นหอม, thai green onion",ต้นหอมไทย ตัดแต่ง | THAI GREEN ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นหอมไทย ตัดแต่ง | THAI GREEN ONION
"ต้นหอมญี่ปุ่น, japanese spring onion",ต้นหอมญี่ปุ่น ตัดแต่ง มีใบ | JAPANESE SPRING ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นหอมญี่ปุ่น ตัดแต่ง มีใบ | JAPANESE SPRING ONION
"ต้นหอมญี่ปุ่นก้าน, ต้นหอมญี่ปุ่น เฉพาะก้าน",ต้นหอมญี่ปุ่น เฉพาะก้าน | JAPANESE SPRING ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นหอมญี่ปุ่น เฉพาะก้าน | JAPANESE SPRING ONION
"ตะไคร้, lemongrass",ตะไคร้ | LEMONGRASS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ตะไคร้ | LEMONGRASS
"พริกขี้หนูเขียว, ขี้หนูเขียว, green bird chilli",พริกขี้หนูเขียว | GREEN BIRD CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูเขียว | GREEN BIRD CHILLI
"พริกขี้หนูเขียวเด็ด, ขี้หนูเขียวเด็ดก้าน, green bird chilli no stem",พริกขี้หนูเขียว ไร้ก้าน | GREEN BIRD CHILLI NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูเขียว ไร้ก้าน | GREEN BIRD CHILLI NO STEM
"พริกขี้หนูแดง, red bird chilli",พริกขี้หนูแดง | RED BIRD CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูแดง | RED BIRD CHILLI
